['SearchAndRescue']	rescue need romualdez st cor kalentong house beside caltex lolo lola residing 
['GoodsServices', 'SearchAndRescue']	ust hospital generator already die 
['GoodsServices', 'Donations']	pls remember ateneo h kitchen cook food cook food item others like clothes med eat 
['Volunteer', 'Donations']	ua amp bea catalyst use donation please check out 
['GoodsServices', 'Donations']	more medicine plastic box need ua amp please donate 
['Volunteer']	fyi prepare second deployment volunteer volunteer need info 
['Donations']	feed program bgy silangan qc ongoing hot arroz caldo serve donation still need 
['InformationWanted']	live webcam 
['Donations']	early now make ur donation already prepare disaster response 
['Volunteer']	aid call volunteer 
['InformationWanted']	any update 
['Donations']	watch tv coverage help govt ask u support logistics 
['Donations']	donation unbound disaster response need assist family affect typhoon hagupit 
['Donations']	help make happen hagupit super typhoon recovery fund help save life 
['InformationWanted']	look confirmation water coast reach up jollibee catbalogan whole kilmoeter seaport 
['InformationWanted']	anyone samar how situation 
['InformationWanted']	look help verifying rumor typhoon hagupit search skill please help 
['InformationWanted']	update please fromeastern samar specifically boronggan san julian eastern samar rubyph 
['Donations']	typhoon hagupit catholic relief service start relief fund 
['InformationWanted']	good morning philippine late now typhoon ruby 
['InformationWanted']	hi any advisory flight tom mla kla 
['InformationWanted']	any update dolores eastern samar please share your photo thank kindly 
['InformationWanted']	typhoon philippine 
['Donations']	also medicine drive post response mission drop off flu fever wound care med 
['InformationWanted']	wait announcement manila too early assume 
['InformationWanted']	wait tweet 
['InformationWanted']	true bts leave philippine wednesday because typhoon ruby 
[]	rfi philippine le typhon hagupit balaye les philippine 
['InformationWanted']	where hagupit rn 
[]	padi idc december moalboal philippine rescue exercise 
['Donations']	work prepare community respond emergency like donate our work today 
[]	week college news tornado relief rotc rebecca black 
[]	week college news tornado relief rotc rebecca black 
[]	really another explosion now texas hell wrong people nowadays goddamn 
['NewSubEvent']	explosion report fertilizer plant west mclennan co 
['NewSubEvent']	texas massive explosion local hospital notify every available ambulance dispatch report casualty http 
[]	waco texas fertilizer plant explosion all unit request 
[]	audio happen horrible explosion waco tx fertilizer plant explode rest home damage much more 
['InformationWanted']	another explosion texas go 
['MovePeople']	texas explosion another chemical tank fire fertilizer plant police urge everyone mile radius evacuate 
['MovePeople']	break cbs entire town west texas under evacuation toxic fume may spread south 
['MovePeople']	break news texas explosion entire town west texas under evacuation toxic fume spread em command post 
['MovePeople']	texas authority advise west texas residence leave town immediately follow explosion my god happen 
['MovePeople']	law enforcement advise resident leave town immediately 
['Volunteer']	able offer housing victim explosion tweet dm email info ll compile list prsar 
[]	lot firefighter battle texas fire volunteer firefighter small town west 
['Donations']	facebook friends amp customer texas wonder how best help out tragedy west 
['MovePeople']	new evacs evac notice amp bellvue include lory state park redstone canyon amp buckhorn rd stave prairie school 
['NewSubEvent']	colorado fire swell size rag wildfire swell within day acre northern colorado 
['Donations']	affect help donate wet dog cat food site ht 
['MovePeople']	evacuate please don wait take your pet when evacuate 
['MovePeople']	evacuate please don wait take your pet when evacuate 
['MovePeople']	crystal mtn road upper buckhorn leave now take pet burn pattern cut off exit via 
['Volunteer']	people want volunteer may call put wait 
[]	panorama take today bingham hl rd amp ridge above co rd ht 
['MovePeople']	pre evacuation notice part glacier view amp mcnay hill hewlett gulch road deer meadow way gordon creek lane 
['MovePeople']	evacuation order issue pingree park area notification send 
['Donations']	fundraiser saturday many others stay tune more detail 
['MovePeople']	another evacuation area notice lift please check out link 
['Donations']	want donate family go 
['NewSubEvent']	update re evacuation announce hwy east seaman reservoir 
['NewSubEvent']	update re evacuation announce hwy east seaman reservoir 
['Donations']	item need donation center 
['Donations']	big colorado thank send more drink frontline 
['CleanUp']	boulder co volunteer take work reseed fourmile fire burn area 
['Donations']	target someone tell me donation need evacuee firefighter 
['Donations']	fresh fruit personnel stay campus need plenty fruit already please donate instead 
['MovePeople']	resident red feather lake crystal lake need use cherokee park road cr 
['Donations']	donationsl continue foothill mall out morning 
[]	whilst flood cause havoc yorkshire colorado burn wild fire close estes park desperate 
['MovePeople']	evacuation manitou spring fire make late night run dispatcher say http 
['Donations']	hanhnenberg currently resource need continue competition resource 
['NewSubEvent']	cspd close palmer park colorado spring big gathering high fire risk 
['NewSubEvent']	colorado spring police close palmer park precaution only 
[]	good authority most colorado front range fire many displaced family little relief sight sad hear 
['InformationWanted']	my goodness my hometown colorado spring seem fire turmoil go down 
[]	where waldo accord google map colorado wildfire burning near chicago via 
['MovePeople']	last chance colorado drive up just close highway evacuate town 
['Donations']	how assist colorado victim how donate help 
['NewSubEvent']	pre evacuation area expand woodland park area per text 
['NewSubEvent']	colorado wildfire last chance fire percent contain 
['SearchAndRescue']	friend look news qho thanks retweeting 
['Volunteer']	want help 
[]	re track typhoon head towards start sunday discuss 
['NewSubEvent']	watcher tropical storm bopha upgrade typhoon via 
['InformationWanted']	anybody butuan surigao kindly tweet update re prep your area cdo roughly ppl may need 
[]	let prepare typhoon pablo expect strong than sendong 
['InformationWanted']	davao city gear up possible flooding landslide via how prepare 
['NewSubEvent']	break enters ph area responsibility locate km southeast hinatuan city via 
[]	super typhoon bopha pablo update number issue pm pht gmt sunday dec next update 
[]	now expect super storm after ravage 
['NewSubEvent']	update typhoon pablo international name typhoon bopha typhoon bopha enter philippine cont http 
[]	dec typhoon pablo bagong public storm warning signal sa buong bansa ayon sa pagasa kaninang 
[]	disaster preparation city 
['InformationWanted']	ops need road access help report condition amp view map 
['NewSubEvent']	pagasa raise signal number over biliran island 
['NewSubEvent']	typhoon pablo make landfall over baganga davao oriental december 
[]	official statement regard clas suspension college usls release later thn today stay tune 
[]	go rainy week davao 
[]	far know think didn hit davao city hard 
['Donations']	food pack water amp non food item need pls contact balsa 
['MovePeople']	negor ocd say family coastal area amp along tanjay river ready evac villaflores college tanjay 
[]	mt province wide all level tomorrow dec 
['NewSubEvent']	new signal negros oriental negro occidental iloilo guimaras antique palawan calamian grp 
['NewSubEvent']	new signal negros oriental negro occidental iloilo guimaras antique palawan calamian grp 
['NewSubEvent']	new signal negros oriental negro occidental iloilo guimaras antique palawan calamian grp 
[]	qld discuss flood funding ludwig federal queensland government expect get ball ro 
[]	my backyard australia fire heat wave flood emergency id call just today 
[]	press release amp pbulletin queensland rtgs affect yet flood material provide 
[]	kiwi trap queensland flood new zealand herald via 
['InformationWanted']	kindly confirm prc renewal service center pic within metro manila robinson galleria also close due recent announcement work government office lieu earthquake occur yesterday april 
['Volunteer', 'Donations']	hello people very small outreach program greatly affect magnitude earthquake pampanga need every help get any form help volunteer donation very much welcome appreciate thank 
['InformationWanted']	all government office metro manila close today because earthquake 
['InformationWanted']	update pls first trip manila bacolod tomorrow april want ask affect recent earthquake manila thanks 
['GoodsServices', 'MovePeople']	people vehicle please move out support area near durbar square 
['NewSubEvent']	nepal quake flight kathmandu put hold budget carrier spicejet indigo also decide 
['InformationWanted']	my friend nepal name daisy rana please help me contact try get signal please 
['InformationWanted']	kathmandu airport reopen where how huge plane land 
['Donations']	dear after success far cry would wonderful might consider donation earthquake relief nepal 
['InformationWanted']	still struggle contact my family amp friend amp after anyone suggest me connect frm abroad 
['GoodsServices', 'Donations']	plz send medical supply paramedic temporary shelter asap 
['NewSubEvent']	believe volcano nepal erupt 
['Volunteer']	mega earthquake hit kathmandu everyone everywhere whatever please help 
['NewSubEvent']	mag hit south central amp 
['Donations']	drag community should get together donate some proceeds victim 
['NewSubEvent']	building damage 
['GoodsServices']	need cancel my booking kathmandu please help me out 
['NewSubEvent']	devastate 
['Donations']	help out 
['NewSubEvent']	avalanche kill nepal everest base camp 
['GoodsServices']	pls help 
['Donations']	make difference rakesh panthi gofundraise 
['InformationWanted']	frnd dr vikram jindal part team help please 
['CleanUp']	pray 
['Donations']	just donate relief fund too via 
['Donations']	earthquake strike nepal help via 
['InformationWanted']	try hard since afternun reach mea nos my dad kathmandu unable him plz help ppl like u 
['Donations']	generous think ngo like others run appeal 
['Donations']	good gesture would team contribute pay today 
['SearchAndRescue', 'InformationWanted']	dr deepu two friend kozhikkodu kerala untraceable kathmandu since quake please help 
['MovePeople']	indian air force evacuate person today please ask your relative get 
['Donations']	early contribution high impact 
['SearchAndRescue']	pls 
['SearchAndRescue']	pls help 
['GoodsServices', 'Volunteer']	look translate email rebecca 
['Donations']	helpful link 
['SearchAndRescue']	israeli family seek neta assif miss 
['Donations']	save 
['SearchAndRescue']	ask anyone help try locate provide information mr erik hogg one base camp nepal 
['NewSubEvent']	develop nepal quake trigger mount everest avalanche 
['NewSubEvent']	exec dy mount everest after quake 
['NewSubEvent']	google dy head injury after via 
['Donations']	look way give 
['SearchAndRescue', 'InformationWanted']	arizonanewsnet secureusatalk arizona doctor trap hut near everest base camp any info please 
['Donations']	thank ellen donate would help please support unicef relief effort 
['Donations']	support effort send aid 
['Donations']	also 
['SearchAndRescue', 'InformationWanted']	u citizens catherine lassez jean louis lassez year old plan travel bhaktapur april 
['NewSubEvent']	beat die boat heroin overdose escort however google exec clearly dangerous 
['Donations']	local restaurant accept donation 
['Donations']	help child affect support unicef relief effort 
['NewSubEvent']	child clifton beach karachi people swim sweep wave least body 
['Donations']	pls help my fund amp spread word every count pg 
['NewSubEvent']	google innovation lab executive dan fredinburg among victim everest avalanche 
['Donations']	please donate share unicef link 
['InformationWanted']	any news trek area after 
['InformationWanted']	happen nepal 
['InformationWanted']	nepal 
['NewSubEvent']	google exec die mt everest avalanche after nepal quake google executive dan fredinburg among lose life due 
['Donations']	donate relief effort texting give nepal 
['Donations']	help click here many different campaign choose thanks share muna mohamed 
['InformationWanted']	terrify natural disaster nepal donation campaign already underway anyone commit one 
['Donations']	please help 
['SearchAndRescue']	everyone please retweet friend school little sister fear perth girl miss nepal 
['Donations']	here gobal donation link once again thank 
['SearchAndRescue']	please help u find my friend parent last heard way everest base camp 
['Donations']	my daughter head kathmandu nepal cambodia please help get threre via 
['NewSubEvent']	witness describe chaos quake hit nepal least canadian register 
['Donations']	help victms united nation child fund united nation new york city 
['SearchAndRescue']	look 
['SearchAndRescue']	please share one pallies 
['SearchAndRescue']	friend miss eric hogg pls 
['Donations']	help victms united nation child fund united nation new york city 
['NewSubEvent']	google executive kill avalanche everest 
['Donations']	donate now world vision international 
['Donations']	fair trader ganesh himal trading establish fund community health center support nepal 
['NewSubEvent']	google exec socal tie kill massive nepal earthquake dan fredinburg google executive grow up 
['NewSubEvent']	google executive dan fredinburg kill everest avalanche after nepal earthquake google executive 
['Donations']	colleague mine recommend foundation 
['InformationWanted']	status prithvi highway update plz 
['Donations']	dear start collection money start amass 
['InformationWanted']	ask contact gt wait reply 
['Volunteer']	people afford trip nepal must go all should help rescue operation don mind visa rule 
['Donations']	thing share u lt 
['SearchAndRescue']	jacob riordan my baby brother miss since pls 
['Donations']	one 
['Donations']	thank 
['Donations']	today hoy 
['InformationWanted']	happen nepal 
['GoodsServices']	spread 
['Donations']	help nepal 
