,content,categories,priority
0,view shell gregoire ,"['FirstPartyObservation', 'Location', 'EmergingThreats', 'MultimediaShare']",High
1,where one fire please stay safe ,"['ThirdPartyObservation', 'MultimediaShare', 'Hashtags']",Medium
2,ab emerge alrt live gregoire prepare evacuate short notice avoid move high ground ,"['MovePeople', 'Location', 'Hashtags']",Medium
3,view timberlea ,"['MultimediaShare', 'Hashtags']",Medium
4,start see flame wind pick up ,"['MultimediaShare', 'Hashtags']",Low
5,lot tension resident evacuate wildfire burn around fort mcmurray ,"['MultimediaShare', 'Hashtags', 'News']",Low
6,oh new fort mcmurray ,"['MultimediaShare', 'Hashtags']",Low
7,need go sleep tear my eye off happen home stay safe ,"['ThirdPartyObservation', 'MultimediaShare', 'Hashtags']",Low
8,thinking my friend everyone else fort mcmurray tonight safe ,"['Hashtags', 'Sentiment']",Low
9,scary watch all afar worry friend love one stay safe all ,"['Hashtags', 'Sentiment']",Low
10,question answer cover our coverage call rmwb pulse line ,"['ServiceAvailable', 'Hashtags', 'Advice']",Medium
11,state emergency declare mandatory evacuation now effect gregoire prairie creek ,"['MovePeople', 'Location', 'Hashtags', 'News', 'Advice']",High
12,fort mcmurray get me start weird radio thing now hop best city give me much ,"['Hashtags', 'Sentiment']",Low
13,hope everyone stay safe tonight fort mcmurray tonight ,"['Hashtags', 'Sentiment']",Low
14,stay safe ,"['MultimediaShare', 'Hashtags', 'Sentiment']",Low
15,late situation mandatory evacuation gregoire paddle creek ,"['MultimediaShare', 'ServiceAvailable', 'Hashtags']",Medium
16,truck need anything just call ,"['ServiceAvailable', 'Hashtags', 'Discussion']",Low
17,leave your home because want talk ,"['InformationWanted', 'Hashtags', 'News']",Low
18,try get some sleep our friend fort mac our prayer god bless fight fire keep safe ,"['Hashtags', 'Sentiment']",Low
19,little disconcert my hometown under state emergency ,"['Hashtags', 'Discussion']",Low
20,holy cow none ground either our city face morning ,['Irrelevant'],Low
21,whom information come ,['Irrelevant'],Low
22,anyone need assistance please message me truck ,"['ServiceAvailable', 'Hashtags']",Medium
23,because anxiety all people fire thats near here ,"['Hashtags', 'Sentiment']",Low
24,video approx look across south sawridge ,"['Location', 'MultimediaShare', 'Hashtags', 'News']",Low
25,want help ,['Volunteer'],Medium
26,just go back gregoire grab few last thing smell smoke get strong quickly ,"['FirstPartyObservation', 'Location', 'Hashtags']",Low
27,our thought resident fort mcmurray affect wildfire ,"['Hashtags', 'Sentiment']",Low
28,thinking all our friend tonight stay safe thanks crew volunteer take care ,"['Hashtags', 'Sentiment']",Low
29,fort mcmurray wildfires force evacuation edmonton cbc news ,"['Location', 'MultimediaShare', 'Hashtags', 'News']",Low
30,ppl sleep macdonald island because municipality get confuse over mandatory voluntary ,"['Location', 'Factoid', 'Hashtags']",Low
31,many prayer best wish all ground stay safe all ,"['Hashtags', 'Sentiment']",Low
32,audio regional fire chief darby allen provide update current status fire ,"['MultimediaShare', 'Hashtags']",Low
33,news release wood buffalo forest fire update may ,"['MultimediaShare', 'Official']",Medium
34,here late update ,"['MovePeople', 'Location', 'ServiceAvailable', 'Hashtags', 'Advice']",High
35,km west hwy airport road cross hangingstone ,"['Location', 'Hashtags']",Low
36,stay safe ,"['MultimediaShare', 'Hashtags']",Low
37,roundup wildfire just km highway mayor impress community effort ,"['Location', 'Hashtags']",Low
38,add me list evacuee interesting trip ,"['Location', 'MultimediaShare', 'Hashtags', 'Advice']",Low
39,fire smoke bring such eerie glow over ymm view waterway thanks all keep u safe ,"['Hashtags', 'Sentiment']",Low
40,oh sorry hear pls safe everyone ,"['Hashtags', 'Sentiment']",Low
41,regular transit service may delay result forest fire apologize any inconvenience ,"['Official', 'Hashtags', 'Advice']",Low
42,flight still happen just notify fire hope everyone safe ,"['InformationWanted', 'Hashtags']",Low
43,fort mcmurray wildfire update mandatory evacuation prairie creek amp centennial trailer park ,"['MovePeople', 'Location', 'MultimediaShare', 'News']",High
44,fort mcmurray stay safe out today fellow neighbour ,"['MultimediaShare', 'Hashtags', 'News', 'Sentiment']",Low
45,landfill remain closed until fire relate threat longer present ,"['Location', 'Official', 'Hashtags']",Low
46,zero visibility cross bridge stay inform stay indoors today ,"['Location', 'Advice']",Low
47,special air quality statement issue area ,"['Location', 'Official', 'Hashtags']",Medium
48,very smoke morning special statement issue regard air quality already ,['Hashtags'],Low
49,smoke air morning ,"['Location', 'MultimediaShare', 'Hashtags']",Low
50,sparksmen school bus pickup cancel prairie creek morning accord fmcsd ,"['Location', 'Hashtags', 'News']",Medium
51,government help u fort mcmurray ,"['Hashtags', 'Discussion']",Low
52,good update last night worth follow stay up date situation ,"['MultimediaShare', 'Hashtags', 'Advice']",Medium
53,everyone my house wake up sore throat amp headache thanks all forrest fire smoke air ,"['Hashtags', 'Discussion']",Low
54,amen thanx all ,['Irrelevant'],Low
55,some fmcsd school keep kid inside today depend smoke level all catholic school open ,"['Location', 'Hashtags', 'News']",Medium
56,just get off phone alberta agriculture amp forestry spokesperson update time crew out take look ,"['Hashtags', 'News']",Low
57,help please call volunteer hotline help need ,"['Volunteer', 'Hashtags']",Low
58,re track situation affected evacuated get touch pparsons ,"['InformationWanted', 'Hashtags', 'News']",Low
59,fort mac wildfire info state emergency evacuation air quality advisory ,"['MultimediaShare', 'Hashtags', 'News']",Low
60,sparksman bus pickup prairie creek cancel morning all school open ,"['Location', 'Hashtags', 'News']",Medium
61,active member emergency service may delay service today please patient thanks ,"['ServiceAvailable', 'Hashtags', 'News']",Low
62,transit service up run schedule ,"['ServiceAvailable', 'Official', 'Hashtags']",Medium
63,smoke really thicken over past hour still big plume like yesterday ,"['MultimediaShare', 'Hashtags']",Low
64,dammit go one weekend happen ,"['Hashtags', 'Discussion']",Low
65,hope everyone safe today evacuation last night ,"['MultimediaShare', 'Hashtags', 'Sentiment']",Low
66,any news go outage downtown core power go out minute ago ,"['InformationWanted', 'Hashtags', 'News']",Medium
