,content,categories,priority
0,pagasa 8 50pm advisory yellow warning metro manila occasional heavy rain next 3 hr flood possible ,,
1,pagasa 11 30pm advisory red warning metro manila heavy intense rain next 3 hr flood low lie area near ,,
2,hey guy use hashtag rescue operation flood monitoring ,,
3,use hashtag allow all medium outlet monitor tweet relate flood rescue operation thanks ,,
4,d rather class than see people my country suffering die ,,
5,d rather class than see people my country suffering die ,,
6,walk thru flood water take one dose doxycycline 200mg guard against leptospirosis via ,,
7,74 yrs old lady trap 17 kapiligan st araneta subd qc all grill window locked water already 2nd floor help ,,
8,flood chaos philippine s capital flood water rise part philippine capital tuesday http ,,
9,mcdonald s store open metro manila now accept donation kind rice noodle good etc flood vi ,,
10,send love worry philippine also send aid donation use info ,,
11,mcdonald s store open metro manila now accept donation kind rice noodle good etc flood vi ,,
12,send love worry philippine also send aid donation use info ,,
13,hi every tweet hashtag 1 donation philippine victim pls retweet unt ,,
14,hi every tweet hashtag 1 donation philippine victim pls retweet unt ,,
15,mcdonald s store open metro manila now accept donation kind rice noodle good etc flood vi ,,
16,fact genesis 8 7 12 noah s ark today 8 7 12 ,,
17,just see flood manila tv sweet jesus sincerely hope your loved one safe didn t realize ,,
18,public service announcement gt pls fast response help way ,,
19,flood uerm hospital almost 3rd floor where nursery rescuer whole day ,,
20,uerm really need help flood almost 3rd floor where nursery rescuer whole day ,,
21,uerm really need help flood almost 3rd floor where nursery rescuer whole day ,,
22,don t panic genesis 8 7 12 god promise never again think positive positive pinoys ,,
23,mcdonald s store open metro manila now accept donation kind rice noodle good etc flood vi ,,
24,family need rescue address 55 guirayan st brgy dona imelda araneta ave qc pls ,,
25,urgent help need ust hospital flood reach building s 2nd level ,,
26,ust hospital s generator already die please send some rescuer ,,
27,uerm really need help flood almost 3rd floor where nursery rescuer whole day ,,
28,ust hospital s generator already die please send some rescuer ,,
29,hospital need help food amp water ust hospital uerm philippine general hospital pls ,,
30,mcdonald s store open metro manila now accept donation kind rice noodle good etc flood vi ,,
31,don t panic genesis 8 7 12 god promise never again think positive positive pinoys ,,
32,hi every tweet hashtag 1 donation philippine victim pls retweet unt ,,
33,hi every tweet hashtag 1 donation philippine victim pls retweet unt ,,
34,don t panic genesis 8 7 12 god promise never again think positive positive pinoys ,,
35,keep safe filipinos thanks mr sun pray philippine ,,
36,mcdonald s restaurant open metro manila still accept donation rice noodle bottle water etc flood vic ,,
37,sabi nga nila work cause applause ,,
38,snow africa drought america flood manila volcanic eruption new zealand seriously s next ,,
39,snow africa drought usa flood manila volcanic eruption new zealand earthquake california trust go ,,
40,snow africa drought usa flood manila volcanic eruption new zealand earthquake california trust go ,,
41,snow africa drought usa flood manila volcanic eruption new zealand earthquake california trust god ,,
42,people need help may text 09051456217 09293510068 09323608563 via ,,
43,class all level suspend tomorrow dec 8 2014 ,,
44,keep safe ,,
45,announcement pagasa super typhoon strong my feeling u kingina mo advise feel same way too ,,
46,announcement pagasa super typhoon strong my feeling u kingina mo advise feel same way too ,,
47,announcement pagasa super typhoon strong my feeling u kingina mo advise feel same way too ,,
48,announcement pagasa super typhoon strong my feeling u kingina mo advise feel same way too ,,
49,announcement pagasa super typhoon strong my feeling u kingina mo advise feel same way too ,,
50,more than 230 local amp foreign volunteer join dswd 7 employee repacking relief good ,,
51,keep safe ,,
52,now move west northwest 10 km h heavy torrential rainfall 10 30 mm h expect within 500 km diameter ,,
53,announcement pagasa super typhoon strong my feeling u kingina mo advise feel same way too ,,
54,keep safe everyone ,,
55,keep safe everyone ,,
56,announcement pagasa super typhoon strong my feeling u kingina mo advise feel same way too ,,
57,keep safe everyone ,,
58,announcement pagasa super typhoon strong my feeling u kingina mo advise feel same way too ,,
59,now anc dilg press conference ,,
60,typhoon hagupit ruby hit how aid pet peril right now follow ,,
61,need pray philippine please help people still recover re house break ,,
62,good morning kathdevotees here abroad keep safe pray ,,
63,lazy kind monday ,,
64,thank lord your divine protection agains typhoon prayer really work ,,
65,my mind need little more explanation god s way let u know exist keep your mind ,,
66,some u stay bed because regain your strength style ,,
67,good day ,,
68,oooh s rain now ,,
69,keep safe guy ,,
70,fry garlic rainy monday morning perfect corned beef ,,
71,wish qualifies s just people buy stock christmas shopping ,,
72,pray safety everyone ,,
73,hop family ok amp safe typhoon ,,
74,all paulinians class tom again ,,
75,today just one reason why love work government ,,
76,let s sing song win t tag along ,,
77,stormy weather signal 3 na tsk tsk take care guythhh ,,
78,bpi branch area affect close 2 pm early depend local weather condition ,,
79,look like right now coast legazpi after ,,
