priority,content
High,view shell gregoire 
Medium,where one fire please stay safe 
Medium,ab emerge alrt live gregoire prepare evacuate short notice avoid move high ground 
Medium,view timberlea 
Low,start see flame wind pick up 
Low,lot tension resident evacuate wildfire burn around fort mcmurray 
Low,oh new fort mcmurray 
Low,need go sleep tear my eye off happen home stay safe 
Low,thinking my friend everyone else fort mcmurray tonight safe 
Low,scary watch all afar worry friend love one stay safe all 
Medium,question answer cover our coverage call rmwb pulse line 
High,state emergency declare mandatory evacuation now effect gregoire prairie creek 
Low,fort mcmurray get me start weird radio thing now hop best city give me much 
Low,hope everyone stay safe tonight fort mcmurray tonight 
Low,stay safe 
Medium,late situation mandatory evacuation gregoire paddle creek 
Low,truck need anything just call 
Low,leave your home because want talk 
Low,try get some sleep our friend fort mac our prayer god bless fight fire keep safe 
Low,little disconcert my hometown under state emergency 
Low,holy cow none ground either our city face morning 
Low,whom information come 
Medium,anyone need assistance please message me truck 
Low,because anxiety all people fire thats near here 
Low,video approx look across south sawridge 
Medium,want help 
Low,just go back gregoire grab few last thing smell smoke get strong quickly 
Low,our thought resident fort mcmurray affect wildfire 
Low,thinking all our friend tonight stay safe thanks crew volunteer take care 
Low,fort mcmurray wildfires force evacuation edmonton cbc news 
Low,ppl sleep macdonald island because municipality get confuse over mandatory voluntary 
Low,many prayer best wish all ground stay safe all 
Low,audio regional fire chief darby allen provide update current status fire 
Medium,news release wood buffalo forest fire update may 
High,here late update 
Low,km west hwy airport road cross hangingstone 
Low,stay safe 
Low,roundup wildfire just km highway mayor impress community effort 
Low,add me list evacuee interesting trip 
Low,fire smoke bring such eerie glow over ymm view waterway thanks all keep u safe 
Low,oh sorry hear pls safe everyone 
Low,regular transit service may delay result forest fire apologize any inconvenience 
Low,flight still happen just notify fire hope everyone safe 
High,fort mcmurray wildfire update mandatory evacuation prairie creek amp centennial trailer park 
Low,fort mcmurray stay safe out today fellow neighbour 
Low,landfill remain closed until fire relate threat longer present 
Low,zero visibility cross bridge stay inform stay indoors today 
Medium,special air quality statement issue area 
Low,very smoke morning special statement issue regard air quality already 
Low,smoke air morning 
Medium,sparksmen school bus pickup cancel prairie creek morning accord fmcsd 
Low,government help u fort mcmurray 
Medium,good update last night worth follow stay up date situation 
Low,everyone my house wake up sore throat amp headache thanks all forrest fire smoke air 
Low,amen thanx all 
Medium,some fmcsd school keep kid inside today depend smoke level all catholic school open 
Low,just get off phone alberta agriculture amp forestry spokesperson update time crew out take look 
Low,help please call volunteer hotline help need 
Low,re track situation affected evacuated get touch pparsons 
Low,fort mac wildfire info state emergency evacuation air quality advisory 
Medium,sparksman bus pickup prairie creek cancel morning all school open 
Low,active member emergency service may delay service today please patient thanks 
Medium,transit service up run schedule 
Low,smoke really thicken over past hour still big plume like yesterday 
Low,dammit go one weekend happen 
Low,hope everyone safe today evacuation last night 
Medium,any news go outage downtown core power go out minute ago 
Low,fire chief darby allen re good shape morning than thought would fire hasn move much overnight 
Low,allen say re hop wind come north east bad direction would easterly wind 
Medium,one kilometre away 
Medium,wildfire slow progression towards fort mcmurray neighbourhood 
Low,look like up date picture 
Low,many people hose drive wasting water restriction come look already happen 
Low,fire crew attack sign flame yet lot loud popping 
Low,fort mcmurray wildfire update smoky condition trigger air quality alert 
Low,wildfire stay put overnight 
Low,fire chief say forestry send bomber due smoke only helicopter take run right now 
Low,now trend 
Low,view southern entrance morning plan chopper attack 
Low,thought prayer everyone impact wildfire stay up date 
Low,special thank all volunteer staff firefighter pilot other first responder all hard work 
Low,thanks much share too hard sleep wonder flame would creep closer night 
Low,where our fearless leader through all even peep 
Low,hold press conference re mayor blake amp alberta forestry hand 
High,burn out control other slave lake forest area nw red earth creek 
Low,thought prayer family firefighter staff volunteer first responder community 
Low,now map hectare per 
Low,great isn flood our twitter feed don already know last hour 
Low,oh look here say nothing 
Low,update fighting effort happen mt ll attempt livestream 
Low,front line family relocate thanks all put damper 
Low,official update medium forest fire event tune into late 
Medium,see fire hazard rating remain very high 
Low,saw great post morning 
Low,use river some building now smokey view 
Low,ready your neighborhood need evacuate tonight 
Low,fantastic shot tracy very scary all u sure 
Low,live now ft mcmurray official update wildfire situation 
Low,mayor melissa blake speak press conference regard listen live amp 
Low,technical update regional fire chief darby allen 
Low,think everyone include first responder put themselves harm way stay safe everyone 
Medium,allen say diamondstone ridge fire hold member fight fire near taiga nova 
Low,news conference wildfire fort mac right now our most recent update 
Low,watch live update fort mcmurray wildfire fighting effort 
Low,allen say significant change west fire good news u 
Low,chief darby aircraft hard time see edge fire smoky condition 
Low,still local state emergency accord 
Low,allen say tanker lay retardant gap between fire hwy since 
Low,re expect bad fire condition happen afternoon mandatory evacuation still place 
Low,chief darby bad fire condition day expect around pm 
Low,chief darby urgent need volunteer wish sign up our rmwb ca 
Medium,allen say expect bad fire occur around hope further update around 
Low,chief darby all volunteer shift fill volunteer future 
Low,fire chief say response community look volunteer heartwarming wonderful 
Low,only thing hope pilot see good soon 
Low,chief darby speaks press conference 
Medium,update fire hectare size hard currently gauge full size 
Medium,bernie schmidt forestry say hectare size hard tell smoke wind forecast out se 
Medium,forestry fire between hectare size 
Low,firefighter prepare attack today chopper assign heavy chopper order air tanker group 
Low,crew look skim off gregoire lake load heavy duty air tanker 
Low,predict crossover condition add increase fire behaviour later today 
Low,men currently fight total way across ab 
Low,total firefighter expect battle blaze near gregoire 
Low,chief allen amp bernie schmidt forestry hectare size hard tell 
Low,head fire lay low area closest ground fire hasn move into top tree 
Low,chief darby our job ensure safety resident community situation 
Medium,between hectare official say hard get more precise size bc smoke 
Low,say full crown fire near gregoire tree aren crown flame 
Low,allen say extremely dry spring lead four fire five day 
Low,firefighter currently fire deploy across province 
Low,allen guess dry spring year town 
Medium,estimate fire hectare difficult get accurate map result heavy smoke 
Low,all fire still under investigation 
Low,press conference continue update through day may hold another conference later today 
Low,evacuation situation unchanged progress make fire overnight smoke trap inversion cause problem 
Low,fire chief say year way dry than previous year people need careful 
Low,our livestream end thanks watch 
Low,say type incident management team work team expert manage complex incident 
Low,allen more encouraged today hit town slight sign change evacuation occ 
Low,finally map see deal fort mcmurray 
Low,update evacuation order still place due detail here 
Low,update evacuation order stay effect listen live 
Low,province say send meca vehicle fort mcmurray request 
Low,air clear thanks northeast wind doesn help fire hat off first responder fine 
Low,live tweet our approach haze become apparent mark 
Low,over abundance chain smoker welder re use thick smoke 
Low,hotel ready evacuate moment notice 
Low,rmwb hold press conference condition wildfire 
Low,rmwb update wildfire 
Low,stark reminder fire travel up midst today stay safe friend 
Low,here our feature alberta fire crew learn emergency survival 
